main_category,title,features,description,categories,details,parent_asin
Camera & Photo,"Polaroid Optics 86mm 3-Piece Filter Kit Set [UV,CPL,FLD] includes Nylon Carry Case – Compatible w/ All Popular Camera Lens Models","['ULTRAVIOLET PROTECTIVE FILTER [UV] – Prevents Loss of Sharpness & Contrast by Filtering Out UV Rays & Haze; Allows for High Light Transmittance While Protecting Lens Against Scratches, Scuffs & Smudges', 'CIRCULAR POLARIZER FILTER [CPL] – Uses Polaroid Technology for ‘On Location’ Control of Color Saturation; Make Blue Skies Bluer, Green Grass Greener & Eliminate Reflections from Glass & Water', 'FLUORESCENT FILTER [FLD] – Effectively Eliminates Fluorescent or ‘Greenish’ Tinge From Your Photographs for Superior Optical Clarity; Take Natural, True-to-Life Shots Even in Poor Indoor or Outdoor Conditions', 'PRO-GRADE MC FILTERS;– Polaroid Optic Filters use Pro grade Multi-Coated Glass Which Gives You Unparalleled Quality. Included is a Water-Resistant Nylon Carry Pouch to Protect the Filters', 'COMPATIBLE WITH ALL 86MM LENSES – To Ensure Perfect Fit, Verify Lens Thread Size Based on “Ø86” Marking on Lens Barrel or Underneath Lens Cap']","['Advanced optical enhancement for all DSLRs! Polaroid continues their extraordinary brand legacy with a new generation of optical solutions. Whether you’re a budding amateur or seasoned professional photographer, this 3-Piece Filter Set is the ultimate starter pack for taking gorgeous, true-to-life photographs you have to see to believe. Compatible with all camera styles and lens diameters, our versatile collection delivers consistent color quality, excellent saturation, crisp detail and overall remarkable results regardless of shooting conditions. The set’s UV, FLD and CPL filters are each formulated to ensure exceptional performance across the entire surface of the lens. Constructed of special alloys that won’t expand or contract over time, they’re also backed by a generous 10-year warranty. Whether you’re working in harsh fluorescent lighting, under a blazing sun or amidst other outdoor elements, snap confidently knowing Polaroid protects your gear while enhancing your craft. So add a Filter Set to your cart today, and see the difference in the details!']","['Electronics', 'Camera & Photo', 'Accessories', 'Filters & Accessories', 'Filter Sets']","{'Product Dimensions': '0.39 x 0.39 x 0.39 inches', 'Item Weight': '2.4 ounces', 'Item model number': 'PL3FIL86', 'Best Sellers Rank': {'Camera Lens Filter Sets': 455}, 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'July 1, 2010', 'Manufacturer': 'Polaroid', 'Brand': 'Polaroid', 'Material': 'Glass', 'Photo Filter Thread Size': '86 Millimeters', 'Coating Description': 'Multi Coating', 'Photo Filter Effect Type': 'Polarizer, Ultraviolet', 'Water Resistance Level': 'Water Resistant'}",B0093PEIOC
All Electronics,T POWER Ac dc Adapter for DigiTech JML2 JamMan Stereo Looper Sampler Pedal Replacement Switching Power Supply Cord Charger,"['T-Power Made with the highest quality', 'Brand-new Input Voltage Range: AC 100V - 240V', '1-year limited warraty.', 'Compatible with : DigiTech JML2 JamMan Stereo Looper Sampler Pedal']",['T-Power Made with the highest qualityBrand-new Input Voltage Range: AC 100V - 240V  1-year limited warraty.Compatible with : DigiTech JML2 JamMan Stereo Looper Sampler Pedal'],"['Electronics', 'Power Accessories', 'AC Adapters']","{'Product Dimensions': '4 x 4 x 2 inches', 'Item Weight': '4 ounces', 'Item model number': 'TP-Jl4-KEC', 'Date First Available': 'June 26, 2015', 'Manufacturer': 'T-Power', 'Brand': 'T POWER', 'Unit Count': '1 Count', 'Voltage': '240 Volts', 'Reusability': 'Single Use', 'Model Name': 'TM'}",B010ELNKEC
Computers,HP Pavilion Slimline S5160F Desktop PC (Discontinued by Manufacturer),"['Intel Core 2 Quad Processor Q8200', '6GB PC3-8500 DDR3 SDRAM memory (2x2048MB and 2x1024MB for ultimate performance) (expandable to 8GB)', '750GB (7200 RPM) hard drive stores up to 161,000 songs or 129,000 photos.', 'Genuine Windows Vista Home Premium 64-bit edition', 'NVIDIA GeForce G210 graphics card with 512MB DDR2 dedicated graphics memory']","['Product Description', ""The HP Slimline offers a powerful PC where space is at a premium. Perfect for a small office or dorm, it can handle all your computing needs, like e-mail, word processing and more. And the Slimline is flexible, so you can easily add or upgrade features and functions. The HP Slimline¿s sleek, modern styling, with chrome and accent lighting, looks great in any room. What's in the box: Pavilion s5160f desktop PC, HP wireless keyboard, HP wireless optical mouse, power cord, Cyberlink DVD Suite Deluxe software, muvee Reveal Basic, HP MediaSmart Software Suite, Microsoft Works 9, Adobe Reader 8 and Norton Internet Security 2009 with 60 days of complimentary live updates."", 'Amazon.com', 'From the Manufacturer', 'Want a smaller PC that has everything you need and want? Buy an HP Pavilion Slimline PC. Create documents, spreadsheets, slide shows, music playlists and home videos. At under 5 inches wide, this PC is an easy fit for any office or room.', 'SPECIFICATIONS:', 'Monitor sold separately', 'Processor:', '2.33GHz Intel', '®', 'Core', '™', '2 Quad Processor Q8200', 'Operating System:', 'Genuine Windows Vista', '®', 'Home Premium 64-bit Edition', 'Hard Drive:', '750 GB', 'Memory (RAM):', '6 GB', 'Disc Drive:', 'Blu-ray Player and SuperMulti DVD Burner with LightScribe Technology', 'Graphics Card:', 'NVIDIA GeForce G210 graphics card with 512MB DDR2 dedicated graphics memory, DVI and HDMI capabilities and support for Blu-ray1 and Microsoft', '®', 'DirectX', '®', '10', 'Networking:', 'Wireless and wired LAN', 'PERFORMANCE ANYWHERE YOU NEED IT', 'The HP Slimline offers a powerful PC where space is at a premium. Perfect for a small office or dorm, it can handle all your computing needs, like e-mail, word processing and more.', '(1)', 'And the Slimline is flexible, so you can easily add or upgrade features and functions. The HP Slimline’s sleek, modern styling, with chrome and accent lighting, looks great in any room.', 'Backed by HP’s award-winning Total Care service and support.', 'Backed by HP’s award-winning Total Care service and support.', 'Sophisticated styling gives the Slimline the look of a top-price PC.', 'Sophisticated styling gives the Slimline the look of a top-price PC.', 'Protected by Norton Internet Security 2009: Protect your PC out of the box.(2)', 'Protected by Norton Internet Security 2009: Protect your PC out of the box.', '(2)', 'The front-panel 6-in-1 memory card reader makes it easy to transfer photos, music, and other files to and from your digital camera and other peripheral devices.', 'The front-panel 6-in-1 memory card reader makes it easy to transfer photos, music, and other files to and from your digital camera and other peripheral devices.', 'The SuperMulti DVD burner with LightScribe technology lets you create custom, silkscreen-quality labels and artwork directly onto LightScribe-enabled CD and DVD discs.(3)', 'The SuperMulti DVD burner with LightScribe technology lets you create custom, silkscreen-quality labels and artwork directly onto LightScribe-enabled CD and DVD discs.', '(3)', 'The built-in TV tuner and personal video recorder (PVR) let you watch, pause, rewind, and record live television - with no monthly fee. The free online Electronic Program Guide (EPG) lets you review the TV schedule and choose a single episode or an entire series.(4)', 'The built-in TV tuner and personal video recorder (PVR) let you watch, pause, rewind, and record live television - with no monthly fee. The free online Electronic Program Guide (EPG) lets you review the TV schedule and choose a single episode or an entire series.', '(4)', 'Go wireless and clutter-free with wireless keyboard, mouse, and remote control. The Pavilion Slimline PC also features a built-in wireless antenna for Wireless LAN 802.11b/g/n networking.(5)', 'Go wireless and clutter-free with wireless keyboard, mouse, and remote control. The Pavilion Slimline PC also features a built-in wireless antenna for Wireless LAN 802.11b/g/n networking.', '(5)', 'HP MEDIASMART SOFTWARE SUITE', 'Your one-stop multimedia & entertainment center to create photo slideshows, share personal videos, listen to your favorite music playlists & watch DVD movies.', 'THE WORLD’S FAVORITE PC', 'HP computers are designed to perform and built to last; that’s why we’re the world leader in consumer PCs. HP has sold more than 60 million consumer PCs since 1998—more than any competitor—and won more PC Magazine Editors’ Choice Awards than any other company.', '(6)', 'Monitor sold separately', 'CAPABILITY MEETS POSSIBILITY', 'The 64-bit edition of Windows Vista', '®', 'Home Premium is for serious computer users who have advanced high-performance needs.', '(7)', 'This latest edition integrates Windows Vista innovation with cutting-edge PC hardware to deliver expanded memory, stronger security, and enhanced reliability. Security features such as Data Execution Prevention (DEP) and Microsoft PatchGuard offer additional protection against a wide range of threats, while increased memory improves the performance of applications with heavy memory demands. Windows Vista includes the latest operating system improvements and enhancements from Microsoft.', 'THE LATEST PROCESSOR TECHNOLOGY', 'The Intel', '®', 'Core', '™', '2 Quad processor', '(8)', 'is the latest in cutting edge processor technology for the desktop PC. Based on the new Intel', '®', 'Core', '™', 'microarchitecture, the Intel Core 2 Quad processor delivers four complete execution cores within a single processor, delivering unprecedented performance and responsiveness in multi-threaded and multi-tasking business and home use environments.', '(1)', 'Internet access required and sold separately.', '(2)', 'Internet access required. First 60 days included; subscription required for live updates afterwards.', '(3)', 'Actual speeds may vary. Does not permit copying of commercially available DVD movies or other copyright-protected materials. Intended only for creation and storage of original material and other lawful uses. Double Layer is a new technology. Double Layer media compatibility will widely vary with some home DVD players and DVD-ROM drives. LightScribe creates a grayscale image similar to black and white photography. LightScribe media required and sold separately. Note that DVD-RAM cannot read or write to 2.6GB Single Sided/5.2 GB Double Sided – Version 1.0 media. Data transfer rates up to 3,600 KB/s (CD read/write) and 10,816 KB/s (DVD read/write).', '(4)', 'ATSC high-definition (HD) and NTSC source content varies and will depend on broadcast signal, antenna, geographic location and other factors. An external over-the-air antenna that receives UHF and VHF signals is required for ATSC reception. Viewing HD content will require a compatible high-definition display. Ability to record, edit, or transfer broadcast content such as TV programming may be limited depending on the type of content. Performance issues may arise, and do not constitute defects in the product.', '(5)', 'Wireless access point and Internet service sold separately. The specifications for the 802.11n WLAN are draft specifications and are not final. This may affect the ability of the PC to communicate with other 802.11n WLAN devices.', '(6)', 'Based on highest volume of PCs sold. Source: IDC WW PC Tracker, December 2008', '(7)', 'Certain Windows Vista product features require advanced or additional hardware. See www.microsoft.com/windowsvista/getready/hardwarereqs.mspx and www.microsoft.com/windowsvista/getready/capable.mspx for details. Windows Vista Upgrade Advisor can help you determine which features of Windows Vista will run on your computer. To download the tool, visit www.windowsvista.com/upgradeadvisor.', '(8)', ""Intel's numbering is not a measurement of higher performance. Dual/Quad Core is a new technology designed to improve performance of certain software products. Not all customers or software applications will necessarily benefit from use of this technology. 64-bit computing on Intel architecture requires a computer system with a processor, chipset, BIOS, operating system, device drivers and applications enabled for Intel"", '®', '64 architecture. Processors will not operate (including 32-bit operation) without an Intel 64 architecture-enabled BIOS. Performance will vary depending on your hardware and software configurations. See www.intel.com/info/em64t for more information.', 'See more']","['Electronics', 'Computers & Accessories', 'Computers & Tablets', 'Desktops', 'Towers']","{'Processor': '2.33 hertz core_2_quad', 'RAM': '6 GB SDRAM', 'Hard Drive': '750 GB SATA', 'Graphics Coprocessor': 'NVIDIA GeForce G210', 'Chipset Brand': 'Intel', 'Card Description': 'Dedicated', 'Graphics Card Ram Size': '512 MB', 'Wireless Type': '802.11ab', 'Brand': 'HP', 'Series': 'Pavilion Slimline', 'Item model number': 'NP189AA#ABA', 'Hardware Platform': 'PC', 'Operating System': 'Windows Vista Home Premium', 'Item Weight': '9.2 pounds', 'Product Dimensions': '15.91 x 4.43 x 12.24 inches', 'Item Dimensions  LxWxH': '15.91 x 4.43 x 12.24 inches', 'Color': 'Black', 'Processor Brand': 'Intel', 'Number of Processors': '1', 'Computer Memory Type': 'SDRAM', 'Hard Drive Interface': 'Serial ATA', 'Hard Drive Rotational Speed': '7200 RPM', 'Optical Drive Type': 'Blu-ray Disc / Super Multi', 'Date First Available': 'July 5, 2009', 'Specific Uses For Product': 'Multimedia', 'Memory Storage Capacity': '750 GB', 'Ram Memory Installed Size': '6 GB', 'Model Name': 'Pavilion Slimline', 'Included Components': 'Monitor, Mouse, Keybord', 'CPU Model': 'Core 2 Quad', 'Optical Storage Device': 'Blu-ray Disc / Super Multi'}",B002BWQA8G
All Electronics,"KLO Bluetooth Mouse for MacBook/MacBook air/Pro/iPad, Wireless Mouse for Laptop/Notebook/pc/iPad/Chromebook (BT/A deep Pink-Black)","['✪✪3DPI SWITCH:Using high-performance optical chips, up to 1600 dpi(800, 1200, 1600) accurately tracking,to meet different needs.', '✪✪Adopt bluetooth 3.0/5.2 technology,built-in durable 500mAh Lithium polymer rechargeable battery,high cycle life, The charging time is about 1.5-2.5 hours, lasting use time, the Auto Switch Off function will help you save energy as your bluetooth mouse will switch off when your PC is turned off or the receiver is disconnected. If you do not use the mouse for eight minutes, it will go to sleeping mode, you can press the any button to weak it up. energy saving and extremely low power consumption.', '✪✪It is compatible with Mac OS Windows /Win8/10/and is suitable for desktop/ipad/notebook/Mac Macbook Pro/Air(2017/2018/2019/2020/2021) iMac and other devices.', '✪✪contoured shape, Ultra Thin and lightweight design, smooth surface ensure maximum comfort and support for your hand even after long working hours, The rubber scroll wheel makes sure that your hand will not slip when scrolling,This bluetooth mouse can meet your demand of daily office working and personal preference.', '✪✪To provide you with quality after-sales service: any quality problems within a month can be directly returned or replaced.It is recommended to use the USB port of the computer to charge the mouse, or use a 5V 1A charger, no larger than 5V 1A.']","['Adopt bluetooth 3.0/5.2 technology, built-in 500mAH A product lithium battery, configuration charging line, like a mobile phone, easy to charge, more scientific, charge and discharge of more than 500 times, the mouse no longer need to buy a battery. size: 113mm x 58mm x23mm weight : 3.2 oz package: Bluetooth mouse x1, USB Charging Cable x1 How to use Bluetooth wireless mouse:Apple Mac MacBook/pro/Air 2012/2013/2014/2015/2016/2017/2018/2019: first, open the mouse switch, open the computer system preferences, open the bluetooth, when the computer Bluetooth display is searching for nearby Bluetooth devices, hold down the mouse button (at the bottom of the mouse small black button) and keep 3 to 8 seconds, and then your computer display the search bluetooth mouse, bluetooth device click on the link, and then the connection is successful Win7/8/10/XP series notebook computer usage instructions: First, open the mouse switch, open the computer settings, open the device Bluetooth function, open add Bluetooth, open Bluetooth, when the computer Bluetooth display is searching for nearby Bluetooth devices, hold down the mouse button (at the bottom of the mouse small black button) and keep 3 to 8 seconds, and then your computer display the search bluetooth mouse, bluetooth device click on the link, and then the connection is successful']","['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Keyboards, Mice & Accessories', 'Mice']","{'Product Dimensions': '4.5 x 2.2 x 1 inches', 'Item Weight': '3.2 ounces', 'Batteries': '1 Lithium Ion batteries required. (included)', 'Best Sellers Rank': {'Computer Mice': 1315}, 'Date First Available': 'August 31, 2020', 'Manufacturer': 'KLO GD', 'Country of Origin': 'China', 'Brand': 'KLO', 'Color': 'BT/A deep Pink-Black', 'Connectivity Technology': 'Wireless', 'Special Feature': 'Wireless', 'Movement Detection Technology': 'Optical'}",B09ZTC6LGP
All Electronics,"iBeani iPad Pillow & Tablet Cushion Stand - Securely Holds Any Size Tablet, eReader or Book Upto 12.9 inches, Hands Free Comfort at Any Angle on Any Surface - Duck Egg Check, by iBeani",[],[],[],"{'Product Dimensions': '9.84 x 9.84 x 11.81 inches', 'Item Weight': '0.88 Pounds', 'Item model number': 'IB-DECH', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'October 3, 2018', 'Manufacturer': 'iBeani', 'Brand': 'IBeani', 'Compatible Devices': 'Tablets', 'Mounting Type': 'Tabletop', 'Item Dimensions LxWxH': '9.84 x 9.84 x 11.81 inches'}",B01CYGZ1U6
Cell Phones & Accessories,"MZELQ Compatible with Airpods 3 Case Strawberry Cute Pattern, Soft TPU Airpods Case for Girls Women + 1* Mental Ring, Protective Airpods 3 Case","['Compatible with: Airpods 3.', 'Strawberry Pattern: Very cute strawberry pattern, lets you catch up with the fashion trend and decorate your airpods perfectly.', 'Fantastic Glitter Gift : Perfect as a gift for your family, friends and lover on Their birthday or some special festivals. She will love it. This glitter airpods case will be your best choice.', 'Extra Keychain: Added anti-lost keychain, enable to have your airpods handy all the time. Easily to attach your purse, backpack, belt loop, convenient to take it out without fear of loosing, you never have to worry about losing your headphones again.', 'Packaging including: 1* Airpods Case + 1* Mental Ring.']",[],"['Electronics', 'Headphones, Earbuds & Accessories', 'Cases']","{'Product Dimensions': '6.65 x 2.72 x 1.1 inches', 'Item Weight': '1.13 ounces', 'Item model number': 'MZELQ', 'Best Sellers Rank': {'Electronics': 311271, 'Headphone Cases': 28110}, 'Special features': 'Wireless, Cute Pattern, Mental Ring, Strawberry, Shockproof', 'Form Factor': 'Case', 'Color': 'Airpods 3', 'Whats in the box': 'Mental Ring', 'Manufacturer': 'MZELQ', 'Date First Available': 'March 22, 2022', 'Brand': 'MZELQ', 'Compatible Devices': 'Airpods 3', 'Shell Type': 'Soft'}",B09W4C22XT
All Electronics,SLLEA Universal 3.7v Battery Charger for Nintendo DS XL 3DS SPR 003 SPR-003 Official,"['★SHIPPING: Same Day Shipping ! Except weekends and Holidays!', '★COMPATIBILITY: 100% fitting ,it will work perfectly with your device ,will not blow a circuit or make any physical noise when it was plugged in !', '★COMPATIBLE WITH:\xa0Universal 3.7v Battery Charger for Nintendo DS XL 3DS SPR 003 SPR-003 Official', ""★MONEY BACK GUARANTEE: 30 Days Money Back Guarantee / 60 Days Free Exchange With Paid Return Label / 360 Days Anytime Worry-Free Warranty! /Please don't hesitate to contact us if any questions or concerns - we are here to help!"", '★INDUSTRY QUALITY: this ac adapter is CE certified and tested by manufacture ,sturdy with a thicker casing,will not be bent easily ,which has over heat and over voltage protection. Especially in the summer, it Will not hot to touch after using a long time.']",['Universal 3.7v Battery Charger for Nintendo DS XL 3DS SPR 003 SPR-003 Official'],"['Electronics', 'Power Accessories', 'AC Adapters']","{'Package Dimensions': '4.25 x 2.52 x 1.26 inches', 'Item Weight': '2.08 ounces', 'Item model number': 'FN-09-742', 'Date First Available': 'September 4, 2018', 'Manufacturer': 'SLLEA', 'Brand': 'SLLEA', 'Mounting Type': 'Wall Mount', 'Total USB Ports': '1', 'Specification Met': 'CE', 'Output Voltage': '3.7 Volts', 'Power Source': 'Corded Electric', 'Main Power Connector Type': '2 pin', 'Connector Gender': 'Male-to-Male'}",B07H2Z829Y
,"Field Optics Research Triple Pack Retail Packaging Assy EyeShield, Camo","['Protects eyes from distracting light and elements', 'Fits Any Brand Binoculars', 'Comes with 1 pair Standard, 1 pair Compact + 1 Spotting Scope', 'Made of ruged material']","['The EYESHIELD is a flexible molded rubber material that connects to the eye piece of the binocular. The EYESHIELD cradles your eye and prevents ambient light from entering into the space between your eye and the binocular eyepiece that causes lens glare. An added benefit is the EYESHIELD protects the eyes from wind, rain, snow and dust. This is a must have for everyone who uses binoculars.']","['Electronics', 'Camera & Photo', 'Binoculars & Scopes', 'Binoculars']","{'Item Package Dimensions L x W x H': '5.98 x 3.58 x 2.13 inches', 'Package Weight': '0.13 Kilograms', 'Item Dimensions  LxWxH': '5.8 x 3.6 x 1.9 inches', 'Item Weight': '0.25 Pounds', 'Brand Name': 'Field Optics Research', 'Color': 'Camo', 'Material': 'Rubber', 'Manufacturer': 'Field Optics Research', 'Part Number': 'B003', 'Best Sellers Rank': {'Camera & Photo Products': 1559, 'Binoculars': 721}, 'Date First Available': 'March 11, 2013', 'Brand': 'Field Optics Research', 'Special Feature': 'Compact Design', 'Item Dimensions LxWxH': '5.8 x 3.6 x 1.9 inches'}",B00BSGJPQK
All Electronics,Civhomy L14M3P21 Battery Replacement for Ideapad 300S-14ISK 310S-14AST 310S-14IKB 310S-14ISK 310S-15IKB 500S-14ISK 510S-14IKB 510S-14ISK,"['Battery Type: Li-ion', '11.1V, 45Wh/4050mAh', 'Brand new,no used,replacement', 'Part number: L14M3P21 L14L3P29', 'Compatible model: Edge 2-1580, Flex 3 1470, FLEX 3-1580 5B10G78611']",[],"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Batteries']","{'Package Dimensions': '10.04 x 6.38 x 1.34 inches', 'Item Weight': '11.2 ounces', 'Item model number': 'L14M3P21', 'Best Sellers Rank': {'Electronics': 1017627, 'Laptop Batteries': 23094}, 'Date First Available': 'October 21, 2020', 'Manufacturer': 'Shenzhen Wenxin Technology Co.,Ltd', 'Brand': 'Civhomy', 'Battery Cell Composition': 'Lithium Ion', 'Voltage': '11.1 Volts', 'Reusability': 'Rechargeable', 'Model Name': 'L14M3P21'}",B08LKBMBZ7
All Electronics,"BESTGOT Audio Cable with Microphone Volume Control Aux Cord 3.5mm (4.3ft / 1.3m) for PS4 Controller, Headphones, Tablet PC, Computer, Laptop,Car,Mobile Phone and More (1 Pack White)","[""Note: The microphone can only support smart phones or tablets, it can't support games, laptops or desktops. A combination of incredible sound, durability and universal compatibility make this one of the real choice for those serious about audio.Built with the same grade materials as premium headphones brands. 24K gold-plated contacts ensure the cleanest sound experience possible."", 'Play audio from any digital devices (phones, headphones, tablets, laptops, in-car stereos, mp3 players, portable speakers and more) other media-playing device with standard 3.5mm aux port. Hi-Fi or car stereo (fits standard 3.5mm aux ports). Plug in and play your sound.', 'The male-to-male stereo audio cable transmits audio in stereo format. Audio cable featuring a built-in remote mic for use with your smartphone, music player or tablet device.For Calls: Short press to answer/hang up. For Music: Press pause/play.', '4.3 Feet/1.3M Double-Braided Nylon Aux Cord- Super Durable and Flexible Double-braided nylon exterior prevents tangling and adds another layer of durability, life is 5 times greater than original audio cables.', 'Connector of BestGot audio cable has been slightly extended to fit more devices model and phone cases. Its intelligent step-down design provides a secure fit with phones while case on.']",[],"['Electronics', 'Headphones, Earbuds & Accessories', 'Extension Cords']","{'Brand': 'BESTGOT', 'Connector Type': 'Auxiliary', 'Cable Type': 'AUX', 'Compatible Devices': 'Laptop, Personal Computer, Tablet, Smartphone, Speaker', 'Special Feature': 'In-Line Volume , With microphone', 'Compatible Phone Models': 'Android phones', 'Recommended Uses For Product': '3.5mm Jack', 'Color': '1 Pack White', 'Connector Gender': 'Male-to-Male', 'Data Transfer Rate': '20 KHz', 'Unit Count': '1.0 Count', 'Package Dimensions': '5.79 x 3.82 x 0.31 inches', 'Item Weight': '0.81 ounces', 'Item model number': 'bg6002cord', 'Best Sellers Rank': {'Electronics': 157273, 'Headphone Extension Cords': 847}, 'Date First Available': 'March 17, 2020', 'Manufacturer': 'BestGot'}",B08T1TMN58
Computers,"Fintie Keyboard Case for iPad Air 2 - Slim Shell Lightweight Stand Cover with Magnetically Detachable Wireless Bluetooth Keyboard for iPad Air 2 (2014 Model), Brown","['Specifically designed for iPad air 2 (iPad 6th, 2014 Release). Magnetically detachable ultra slim 7mm and light weight bluetooth keyboard with 10M range.', 'Ultra-slim design adds maximum protection with minimal bulk (0.38 in). Adjustable stand securely holds your iPad in landscape mode.', 'Durable PU leather cover and soft, microfiber-lined interior provide full protection for your tablet. Premium polycarbonate shell locks your tablet in place and absorbs drops and bumps.', 'Real hard laptop style keyboard with high end ABS material. Not cheap silicone keyboard as other cases in market. A spring mechanism underneath each key ensures a tactile response with every stroke, helping you to type faster and with less error than on']",['Product Description Color: Brown Fintie Introduces this stunningly attractive and unique case for your Apple iPad Air 2. This case comes with a detachable bluetooth keyboard that seamlessly connects with the iPad for a qui'],"['Electronics', 'Computers & Accessories', 'Tablet Accessories', 'Bags, Cases & Sleeves', 'Keyboard Cases']","{'Package Dimensions': '11.3 x 8.1 x 1.5 inches', 'Item Weight': '1.4 pounds', 'Manufacturer': 'Fintie', 'Item model number': 'CPF0098US', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'November 3, 2014', 'Brand': 'Fintie', 'Compatible Devices': 'Apple-ipad-air-2', 'Connectivity Technology': 'Bluetooth', 'Keyboard Description': 'Bluetooth', 'Special Feature': 'Magnetic, Lightweight', 'Color': 'Brown', 'Material': 'Synthetic Leather', 'Included Components': 'USB Cable'}",B00P5ZW4YU
Computers,"DTTO New iPad Mini 6th Generation Case 8.3 Inch 2021, Premium Leather Business Folio Stand Cover with Built-in Apple Pencil Holder-Auto Wake/Sleep and Multiple Viewing Angles-Sandy Wave","['【Precise Cutout】Designed for the Apple iPad Mini 6th generation 8.3"" 2021(Model number:A2567/2568/2569).Not compatible with any other iPad model. Access to all buttons and ports aligned perfectly. Please check back bottom of your iPad to find the model number.', '【Premium Synthetic Leather】Made of premium synthetic leather for the appearance and microfiber lining, designed for everyday life, non-slip and drop protection.', '【Magnetic Smart Cover】Auto Wakes/Sleep, external elastic band enhances magnetic closure (reduces battery drain). Support apple pencil (2nd gen) wireless charging without taking off the case. Please Note: Apple pencil is not included.', '【Honeycomb Cushion】Release 80% More Heat than Other Cases, Extend Your iPad Lifespan. Front Pocket is designed for simple organization to store your business cards, cash, bank cards, notes or bills while on the go.', '【Lifetime Warranty】DTTO Offers Lifetime Free Replacement for your ipad Case. Contact us within 30 days of purchasing to activate lifetime warranty!']",[],"['Electronics', 'Computers & Accessories', 'Tablet Accessories', 'Bags, Cases & Sleeves', 'Cases']","{'Standing screen display size': '8.3 Inches', 'Brand': 'DTTO', 'Item Weight': '8.4 ounces', 'Product Dimensions': '7.8 x 6 x 0.7 inches', 'Item Dimensions  LxWxH': '7.8 x 6 x 0.7 inches', 'Color': 'Z-Sandy Wave', 'Manufacturer': 'DTTO', 'Date First Available': 'October 25, 2021', 'Best Sellers Rank': {'Climate Pledge Friendly': 4148, 'Tablet Cases': 265, 'Climate Pledge Friendly: Computers': 281}, 'Compatible Devices': 'Apple iPad Mini 6 2021 8.3 Inch (Model number:A2567/2568/2569)', 'Form Factor': 'Case', 'Shell Type': 'Hybrid'}",B09N3GGL4L
Camera & Photo,JINTU 420-1600mm MF Telephoto Camera Lens Compatible with Nikon SLR D5600 D5500 D780 D850 DF D3100 D3200 D3300 D3400 D90 D5000 D5100 D5200 D5300 D7500 D7100 D7200 D700 D750 D800,"[""★ This is a 420-800mm telephoto lens add extra 2X teleconverter lens become 1600mm focal. It's a Manual lens only work on manual focus mode without auto focus. Create Sharp High Quality Images, Comes with Lens Pouch and Protective Caps."", '★ About ""Lens Not Attached"", please switch to MF MODE in order to use this lens correctly. Before use, pls lock the""Lock-Open"" ring on the lens of body .Tips to use: 1) Set the mode dial to Manual (M). 2) Set the Release w/o Lens option in the camera menu to Enable. 3) Set the Shutter lock option in the camera menu to Off: no lens.', '★ Compatible with for Any NIKON SLR Digital Cameras D850, D810, D800, D750, D700, D610, D300, D3100, D3200, D3300, D3400, D5100, D5200, D5300, D5500, D5600, D7000, D7100, D7200, D7500, D50, D60, D90, Df, D3, D3X etc.', '★ Multi coated low-dispersion glass, anti-reflection coating, manual focus telephoto zoom lens to use with DSLR SLR cameras.Perfect for small or distant subjects,ranging from birds and wildlife, through sports, to moon etc.', '★ Perfect for wild or nature photography, used for small or long-distance objects such as birds or wild animals, airplanes, etc.']",[],"['Electronics', 'Camera & Photo', 'Lenses']","{'Product Dimensions': '10.6 x 3.5 x 3.5 inches', 'Item Weight': '2.2 pounds', 'Item model number': '420-1600mm telephoto lens nikon', 'Best Sellers Rank': {'Camcorder & Camera Lenses': 323}, 'Date First Available': 'June 9, 2019', 'Manufacturer': 'jintu', 'Country of Origin': 'China', 'Brand': 'JINTU', 'Focal Length Description': '420-1600mm', 'Lens Type': 'Telephoto', 'Compatible Mountings': 'Nikon (DX),Nikon (FX),Nikon F,Nikon F(DX),', 'Camera Lens Description': '420 millimetres'}",B07SZD7T5K
